seed_param,seed_sim,Drug,Condition,n,events,median,lwr,upr
3,1,Lid+Adr,Condition 2,100,43,NA,180,NA
3,1,Lid+Adr,Condition 3,100,38,NA,NA,NA
3,1,Lid+Adr,Condition 4,100,44,NA,180,NA
3,2,Pro,Raw data,51,48,55,50,65
3,2,Pro,Condition 1,100,100,60,55,60
3,2,Pro,Condition 2,100,100,60,55,65
3,2,Pro,Condition 3,100,100,60,55,60
3,2,Pro,Condition 4,100,100,60,55,60
3,2,Lid,Raw data,51,47,60,55,70
3,2,Lid,Condition 1,100,100,70,65,70
3,2,Lid,Condition 2,100,100,65,65,70
3,2,Lid,Condition 3,100,100,65,65,70
3,2,Lid,Condition 4,100,100,65,65,70
3,2,Mep,Raw data,51,45,85,75,90
3,2,Mep,Condition 1,100,100,80,75,80
3,2,Mep,Condition 2,100,100,80,75,80
3,2,Mep,Condition 3,100,100,75,75,80
3,2,Mep,Condition 4,100,100,77.5,75,80
3,2,Bup,Raw data,51,25,NA,90,NA
3,2,Bup,Condition 1,100,100,105,100,105
3,2,Bup,Condition 2,100,100,100,95,105
3,2,Bup,Condition 3,100,100,100,95,105
3,2,Bup,Condition 4,100,100,100,95,105
3,2,Lid+Adr,Raw data,51,8,NA,NA,NA
3,2,Lid+Adr,Condition 1,100,36,NA,NA,NA
3,2,Lid+Adr,Condition 2,100,42,NA,180,NA
3,2,Lid+Adr,Condition 3,100,35,NA,NA,NA
3,2,Lid+Adr,Condition 4,100,41,NA,NA,NA
3,3,Pro,Raw data,51,48,55,50,65
3,3,Pro,Condition 1,100,100,60,55,60
3,3,Pro,Condition 2,100,100,60,55,65
3,3,Pro,Condition 3,100,100,60,55,60
3,3,Pro,Condition 4,100,100,60,55,60
3,3,Lid,Raw data,51,47,60,55,70
3,3,Lid,Condition 1,100,100,65,65,70
3,3,Lid,Condition 2,100,100,65,65,70
3,3,Lid,Condition 3,100,100,65,65,70
3,3,Lid,Condition 4,100,100,65,65,70
3,3,Mep,Raw data,51,45,85,75,90
3,3,Mep,Condition 1,100,100,80,75,80
3,3,Mep,Condition 2,100,100,77.5,75,80
3,3,Mep,Condition 3,100,100,80,75,80
3,3,Mep,Condition 4,100,100,80,75,80
3,3,Bup,Raw data,51,25,NA,90,NA
3,3,Bup,Condition 1,100,99,100,100,110
3,3,Bup,Condition 2,100,99,100,100,105
3,3,Bup,Condition 3,100,100,100,100,105
3,3,Bup,Condition 4,100,100,100,95,105
3,3,Lid+Adr,Raw data,51,8,NA,NA,NA
3,3,Lid+Adr,Condition 1,100,36,NA,NA,NA
3,3,Lid+Adr,Condition 2,100,38,NA,NA,NA
3,3,Lid+Adr,Condition 3,100,40,NA,NA,NA
3,3,Lid+Adr,Condition 4,100,38,NA,NA,NA
3,4,Pro,Raw data,51,48,55,50,65
3,4,Pro,Condition 1,100,100,60,55,65
3,4,Pro,Condition 2,100,100,60,55,65
3,4,Pro,Condition 3,100,100,60,55,60
3,4,Pro,Condition 4,100,100,60,55,65
3,4,Lid,Raw data,51,47,60,55,70
3,4,Lid,Condition 1,100,100,65,65,70
3,4,Lid,Condition 2,100,100,65,65,70
3,4,Lid,Condition 3,100,100,65,65,70
3,4,Lid,Condition 4,100,100,65,65,70
3,4,Mep,Raw data,51,45,85,75,90
3,4,Mep,Condition 1,100,100,77.5,75,80
3,4,Mep,Condition 2,100,100,77.5,75,80
3,4,Mep,Condition 3,100,100,80,75,80
3,4,Mep,Condition 4,100,100,80,75,80
3,4,Bup,Raw data,51,25,NA,90,NA
3,4,Bup,Condition 1,100,100,100,100,110
3,4,Bup,Condition 2,100,100,105,100,110
3,4,Bup,Condition 3,100,100,100,100,105
3,4,Bup,Condition 4,100,100,100,95,105
3,4,Lid+Adr,Raw data,51,8,NA,NA,NA
3,4,Lid+Adr,Condition 1,100,40,NA,NA,NA
3,4,Lid+Adr,Condition 2,100,35,NA,NA,NA
3,4,Lid+Adr,Condition 3,100,37,NA,NA,NA
3,4,Lid+Adr,Condition 4,100,37,NA,NA,NA
4,1,Pro,Raw data,51,48,55,50,65
4,1,Pro,Condition 1,100,100,57.5,55,60
4,1,Pro,Condition 2,100,100,55,55,60
4,1,Pro,Condition 3,100,100,55,55,60
4,1,Pro,Condition 4,100,100,55,55,60
4,1,Lid,Raw data,51,47,60,55,70
4,1,Lid,Condition 1,100,100,70,65,70
4,1,Lid,Condition 2,100,100,65,65,70
4,1,Lid,Condition 3,100,100,65,65,70
4,1,Lid,Condition 4,100,100,65,65,75
4,1,Mep,Raw data,51,45,85,75,90
4,1,Mep,Condition 1,100,100,80,75,85
4,1,Mep,Condition 2,100,100,80,75,80
4,1,Mep,Condition 3,100,100,80,75,85
4,1,Mep,Condition 4,100,100,80,75,80
4,1,Bup,Raw data,51,25,NA,90,NA
4,1,Bup,Condition 1,100,99,105,100,105
4,1,Bup,Condition 2,100,99,102.5,95,105
4,1,Bup,Condition 3,100,99,100,95,105
4,1,Bup,Condition 4,100,99,100,100,105
4,1,Lid+Adr,Raw data,51,8,NA,NA,NA
4,1,Lid+Adr,Condition 1,100,37,NA,NA,NA
4,1,Lid+Adr,Condition 2,100,38,NA,NA,NA
4,1,Lid+Adr,Condition 3,100,34,NA,NA,NA
4,1,Lid+Adr,Condition 4,100,37,NA,NA,NA
4,2,Pro,Raw data,51,48,55,50,65
4,2,Pro,Condition 1,100,100,57.5,55,60
4,2,Pro,Condition 2,100,100,55,55,60
4,2,Pro,Condition 3,100,100,55,55,60
4,2,Pro,Condition 4,100,100,55,55,60
4,2,Lid,Raw data,51,47,60,55,70
4,2,Lid,Condition 1,100,100,65,65,70
4,2,Lid,Condition 2,100,100,65,60,75
4,2,Lid,Condition 3,100,100,65,65,70
4,2,Lid,Condition 4,100,100,65,65,70
4,2,Mep,Raw data,51,45,85,75,90
4,2,Mep,Condition 1,100,100,80,75,80
4,2,Mep,Condition 2,100,100,80,75,80
4,2,Mep,Condition 3,100,100,80,75,80
4,2,Mep,Condition 4,100,100,80,75,85
4,2,Bup,Raw data,51,25,NA,90,NA
4,2,Bup,Condition 1,100,100,105,100,105
4,2,Bup,Condition 2,100,99,102.5,100,105
4,2,Bup,Condition 3,100,99,100,100,105
4,2,Bup,Condition 4,100,100,100,100,105
4,2,Lid+Adr,Raw data,51,8,NA,NA,NA
4,2,Lid+Adr,Condition 1,100,37,NA,NA,NA
4,2,Lid+Adr,Condition 2,100,37,NA,NA,NA
4,2,Lid+Adr,Condition 3,100,32,NA,NA,NA
4,2,Lid+Adr,Condition 4,100,38,NA,NA,NA
4,3,Pro,Raw data,51,48,55,50,65
4,3,Pro,Condition 1,100,100,57.5,55,65
4,3,Pro,Condition 2,100,100,57.5,55,60
4,3,Pro,Condition 3,100,100,55,55,60
4,3,Pro,Condition 4,100,100,55,55,60
4,3,Lid,Raw data,51,47,60,55,70
4,3,Lid,Condition 1,100,100,70,65,70
4,3,Lid,Condition 2,100,100,70,65,70
4,3,Lid,Condition 3,100,100,70,65,70
4,3,Lid,Condition 4,100,100,65,65,70
4,3,Mep,Raw data,51,45,85,75,90
4,3,Mep,Condition 1,100,100,80,75,80
4,3,Mep,Condition 2,100,100,80,75,80
4,3,Mep,Condition 3,100,100,80,75,80
4,3,Mep,Condition 4,100,100,80,75,80
4,3,Bup,Raw data,51,25,NA,90,NA
4,3,Bup,Condition 1,100,99,100,100,105
4,3,Bup,Condition 2,100,99,100,100,105
4,3,Bup,Condition 3,100,99,100,100,105
4,3,Bup,Condition 4,100,99,100,100,105
4,3,Lid+Adr,Raw data,51,8,NA,NA,NA
4,3,Lid+Adr,Condition 1,100,37,NA,NA,NA
4,3,Lid+Adr,Condition 2,100,42,NA,180,NA
4,3,Lid+Adr,Condition 3,100,43,NA,180,NA
4,3,Lid+Adr,Condition 4,100,42,NA,180,NA
4,4,Pro,Raw data,51,48,55,50,65
4,4,Pro,Condition 1,100,100,55,55,60
4,4,Pro,Condition 2,100,100,55,55,60
4,4,Pro,Condition 3,100,100,55,55,60
4,4,Pro,Condition 4,100,100,55,55,60
4,4,Lid,Raw data,51,47,60,55,70
4,4,Lid,Condition 1,100,100,70,65,70
4,4,Lid,Condition 2,100,100,65,65,70
4,4,Lid,Condition 3,100,100,70,65,70
4,4,Lid,Condition 4,100,100,65,65,70
4,4,Mep,Raw data,51,45,85,75,90
4,4,Mep,Condition 1,100,100,77.5,75,80
4,4,Mep,Condition 2,100,100,80,75,85
4,4,Mep,Condition 3,100,100,80,75,80
4,4,Mep,Condition 4,100,100,80,75,80
4,4,Bup,Raw data,51,25,NA,90,NA
4,4,Bup,Condition 1,100,99,105,100,105
4,4,Bup,Condition 2,100,99,102.5,100,105
4,4,Bup,Condition 3,100,99,100,95,105
4,4,Bup,Condition 4,100,99,100,100,105
4,4,Lid+Adr,Raw data,51,8,NA,NA,NA
4,4,Lid+Adr,Condition 1,100,39,NA,NA,NA
4,4,Lid+Adr,Condition 2,100,36,NA,NA,NA
4,4,Lid+Adr,Condition 3,100,37,NA,NA,NA
4,4,Lid+Adr,Condition 4,100,36,NA,NA,NA
5,1,Pro,Raw data,51,48,55,50,65
5,1,Pro,Condition 1,100,100,60,55,60
5,1,Pro,Condition 2,100,100,60,55,65
5,1,Pro,Condition 3,100,100,60,55,60
5,1,Pro,Condition 4,100,100,60,55,60
5,1,Lid,Raw data,51,47,60,55,70
5,1,Lid,Condition 1,100,100,65,65,70
5,1,Lid,Condition 2,100,100,65,65,70
5,1,Lid,Condition 3,100,100,65,65,70
5,1,Lid,Condition 4,100,100,65,65,70
5,1,Mep,Raw data,51,45,85,75,90
5,1,Mep,Condition 1,100,100,80,75,85
5,1,Mep,Condition 2,100,100,80,75,80
5,1,Mep,Condition 3,100,100,80,75,80
5,1,Mep,Condition 4,100,100,80,75,80
5,1,Bup,Raw data,51,25,NA,90,NA
5,1,Bup,Condition 1,100,100,95,95,100
5,1,Bup,Condition 2,100,100,95,95,105
5,1,Bup,Condition 3,100,100,100,95,105
5,1,Bup,Condition 4,100,100,100,90,105
5,1,Lid+Adr,Raw data,51,8,NA,NA,NA
5,1,Lid+Adr,Condition 1,100,39,NA,NA,NA
5,1,Lid+Adr,Condition 2,100,41,NA,NA,NA
5,1,Lid+Adr,Condition 3,100,41,NA,NA,NA
5,1,Lid+Adr,Condition 4,100,45,NA,180,NA
5,2,Pro,Raw data,51,48,55,50,65
5,2,Pro,Condition 1,100,100,60,55,60
5,2,Pro,Condition 2,100,100,60,55,65
5,2,Pro,Condition 3,100,100,60,55,60
5,2,Pro,Condition 4,100,100,60,55,60
5,2,Lid,Raw data,51,47,60,55,70
5,2,Lid,Condition 1,100,100,65,65,70
5,2,Lid,Condition 2,100,100,67.5,65,70
5,2,Lid,Condition 3,100,100,65,65,70
5,2,Lid,Condition 4,100,100,65,60,70
5,2,Mep,Raw data,51,45,85,75,90
5,2,Mep,Condition 1,100,100,80,75,80
5,2,Mep,Condition 2,100,100,77.5,75,80
5,2,Mep,Condition 3,100,100,80,75,80
5,2,Mep,Condition 4,100,100,75,75,80
5,2,Bup,Raw data,51,25,NA,90,NA
5,2,Bup,Condition 1,100,100,100,95,105
5,2,Bup,Condition 2,100,100,100,95,105
5,2,Bup,Condition 3,100,100,100,95,105
5,2,Bup,Condition 4,100,100,95,95,105
5,2,Lid+Adr,Raw data,51,8,NA,NA,NA
5,2,Lid+Adr,Condition 1,100,36,NA,NA,NA
5,2,Lid+Adr,Condition 2,100,41,NA,NA,NA
5,2,Lid+Adr,Condition 3,100,41,NA,NA,NA
5,2,Lid+Adr,Condition 4,100,45,NA,180,NA
5,3,Pro,Raw data,51,48,55,50,65
5,3,Pro,Condition 1,100,100,60,55,60
5,3,Pro,Condition 2,100,100,60,55,60
5,3,Pro,Condition 3,100,100,60,55,65
5,3,Pro,Condition 4,100,100,60,55,65
5,3,Lid,Raw data,51,47,60,55,70
5,3,Lid,Condition 1,100,100,65,65,70
5,3,Lid,Condition 2,100,100,65,65,70
5,3,Lid,Condition 3,100,100,65,65,65
5,3,Lid,Condition 4,100,100,65,65,70
5,3,Mep,Raw data,51,45,85,75,90
5,3,Mep,Condition 1,100,100,80,75,80
5,3,Mep,Condition 2,100,100,80,75,80
5,3,Mep,Condition 3,100,100,75,75,80
5,3,Mep,Condition 4,100,100,80,75,80
5,3,Bup,Raw data,51,25,NA,90,NA
5,3,Bup,Condition 1,100,100,100,95,105
5,3,Bup,Condition 2,100,100,100,95,105
5,3,Bup,Condition 3,100,100,100,90,105
5,3,Bup,Condition 4,100,100,100,100,110
5,3,Lid+Adr,Raw data,51,8,NA,NA,NA
5,3,Lid+Adr,Condition 1,100,35,NA,NA,NA
5,3,Lid+Adr,Condition 2,100,41,NA,NA,NA
5,3,Lid+Adr,Condition 3,100,41,NA,NA,NA
5,3,Lid+Adr,Condition 4,100,38,NA,NA,NA
5,4,Pro,Raw data,51,48,55,50,65
5,4,Pro,Condition 1,100,100,60,55,60
5,4,Pro,Condition 2,100,100,60,55,60
5,4,Pro,Condition 3,100,100,55,55,60
5,4,Pro,Condition 4,100,100,60,55,60
5,4,Lid,Raw data,51,47,60,55,70
5,4,Lid,Condition 1,100,100,65,65,70
5,4,Lid,Condition 2,100,100,65,60,70
5,4,Lid,Condition 3,100,100,65,65,70
5,4,Lid,Condition 4,100,100,65,60,70
5,4,Mep,Raw data,51,45,85,75,90
5,4,Mep,Condition 1,100,100,80,75,80
5,4,Mep,Condition 2,100,100,77.5,75,80
5,4,Mep,Condition 3,100,100,75,75,80
5,4,Mep,Condition 4,100,100,80,75,80
5,4,Bup,Raw data,51,25,NA,90,NA
5,4,Bup,Condition 1,100,100,100,95,105
5,4,Bup,Condition 2,100,100,100,95,105
5,4,Bup,Condition 3,100,100,100,95,105
5,4,Bup,Condition 4,100,100,97.5,95,105
5,4,Lid+Adr,Raw data,51,8,NA,NA,NA
5,4,Lid+Adr,Condition 1,100,38,NA,NA,NA
5,4,Lid+Adr,Condition 2,100,46,NA,180,NA
5,4,Lid+Adr,Condition 3,100,39,NA,NA,NA
5,4,Lid+Adr,Condition 4,100,44,NA,180,NA
6,1,Pro,Raw data,51,48,55,50,65
6,1,Pro,Condition 1,100,100,60,55,60
6,1,Pro,Condition 2,100,100,60,55,60
6,1,Pro,Condition 3,100,100,60,55,60
6,1,Pro,Condition 4,100,100,60,55,65
6,1,Lid,Raw data,51,47,60,55,70
6,1,Lid,Condition 1,100,100,70,65,70
6,1,Lid,Condition 2,100,100,67.5,65,70
6,1,Lid,Condition 3,100,100,70,65,75
6,1,Lid,Condition 4,100,100,70,70,70
6,1,Mep,Raw data,51,45,85,75,90
6,1,Mep,Condition 1,100,100,80,75,80
6,1,Mep,Condition 2,100,100,80,75,80
6,1,Mep,Condition 3,100,100,80,75,80
6,1,Mep,Condition 4,100,100,80,75,85
6,1,Bup,Raw data,51,25,NA,90,NA
6,1,Bup,Condition 1,100,100,100,95,105
6,1,Bup,Condition 2,100,100,100,95,105
6,1,Bup,Condition 3,100,100,105,100,110
6,1,Bup,Condition 4,100,100,105,100,105
6,1,Lid+Adr,Raw data,51,8,NA,NA,NA
6,1,Lid+Adr,Condition 1,100,26,NA,NA,NA
6,1,Lid+Adr,Condition 2,100,28,NA,NA,NA
6,1,Lid+Adr,Condition 3,100,27,NA,NA,NA
6,1,Lid+Adr,Condition 4,100,24,NA,NA,NA
6,2,Pro,Raw data,51,48,55,50,65
6,2,Pro,Condition 1,100,100,60,55,65
6,2,Pro,Condition 2,100,100,60,55,60
6,2,Pro,Condition 3,100,100,60,55,65
6,2,Pro,Condition 4,100,100,60,55,60
6,2,Lid,Raw data,51,47,60,55,70
6,2,Lid,Condition 1,100,100,70,65,70
6,2,Lid,Condition 2,100,100,70,65,70
6,2,Lid,Condition 3,100,100,67.5,65,70
6,2,Lid,Condition 4,100,100,70,65,70
6,2,Mep,Raw data,51,45,85,75,90
6,2,Mep,Condition 1,100,100,80,75,80
6,2,Mep,Condition 2,100,100,80,75,80
6,2,Mep,Condition 3,100,100,80,75,80
6,2,Mep,Condition 4,100,100,80,80,85
6,2,Bup,Raw data,51,25,NA,90,NA
6,2,Bup,Condition 1,100,100,100,95,110
6,2,Bup,Condition 2,100,100,105,100,110
6,2,Bup,Condition 3,100,100,105,100,105
6,2,Bup,Condition 4,100,100,102.5,100,105
6,2,Lid+Adr,Raw data,51,8,NA,NA,NA
6,2,Lid+Adr,Condition 1,100,27,NA,NA,NA
6,2,Lid+Adr,Condition 2,100,31,NA,NA,NA
6,2,Lid+Adr,Condition 3,100,22,NA,NA,NA
