seed_param,seed_sim,r,n,events,median,lwr,upr
2,8,-0.5,100,100,65,65,70
2,8,-0.25,100,100,65,65,70
2,8,0,100,100,65,65,70
2,8,0.25,100,100,70,65,70
2,8,0.5,100,100,65,65,70
2,8,0.75,100,100,70,65,70
2,8,1,100,100,70,70,70
2,9,-1,100,100,65,60,70
2,9,-0.75,100,100,65,60,65
2,9,-0.5,100,100,65,65,70
2,9,-0.25,100,100,65,60,70
2,9,0,100,100,70,65,70
2,9,0.25,100,100,65,65,70
2,9,0.5,100,100,65,65,70
2,9,0.75,100,100,70,65,70
2,9,1,100,100,70,65,70
2,10,-1,100,100,65,65,70
2,10,-0.75,100,100,65,60,70
2,10,-0.5,100,100,70,65,70
2,10,-0.25,100,100,65,60,70
2,10,0,100,100,70,65,70
2,10,0.25,100,100,65,65,70
2,10,0.5,100,100,67.5,65,70
2,10,0.75,100,100,70,65,70
2,10,1,100,100,70,65,70
3,1,-1,100,100,65,60,70
3,1,-0.75,100,100,65,60,70
3,1,-0.5,100,100,65,60,65
3,1,-0.25,100,100,65,65,70
3,1,0,100,100,65,65,70
3,1,0.25,100,100,65,65,70
3,1,0.5,100,100,65,65,70
3,1,0.75,100,100,70,65,70
3,1,1,100,100,70,70,70
3,2,-1,100,100,65,60,70
3,2,-0.75,100,100,65,60,70
3,2,-0.5,100,100,65,60,70
3,2,-0.25,100,100,65,65,70
3,2,0,100,100,67.5,65,70
3,2,0.25,100,100,65,65,70
3,2,0.5,100,100,65,65,70
3,2,0.75,100,100,65,65,70
3,2,1,100,100,70,70,70
3,3,-1,100,100,65,60,70
3,3,-0.75,100,100,65,60,70
3,3,-0.5,100,100,67.5,65,70
3,3,-0.25,100,100,65,65,70
3,3,0,100,100,65,65,70
3,3,0.25,100,100,65,65,70
3,3,0.5,100,100,70,65,70
3,3,0.75,100,100,65,65,70
3,3,1,100,100,70,65,70
3,4,-1,100,100,65,60,70
3,4,-0.75,100,100,65,60,65
3,4,-0.5,100,100,65,65,70
3,4,-0.25,100,100,65,65,70
3,4,0,100,100,65,65,70
3,4,0.25,100,100,65,60,70
3,4,0.5,100,100,65,65,70
3,4,0.75,100,100,65,65,70
3,4,1,100,100,70,65,70
3,5,-1,100,100,65,65,70
3,5,-0.75,100,100,65,60,65
3,5,-0.5,100,100,65,60,70
3,5,-0.25,100,100,65,65,70
3,5,0,100,100,65,65,70
3,5,0.25,100,100,65,65,70
3,5,0.5,100,100,65,65,70
3,5,0.75,100,100,65,65,70
3,5,1,100,100,70,65,70
3,6,-1,100,100,70,65,70
3,6,-0.75,100,100,65,65,70
