seed_param,seed_sim,r,mean,SD,median,Q1,Q3,IQR
2,1,1,68.5,7.53778361444409,70,65,75,10
2,2,-1,68,17.40776559556978,65,55,80,25
2,2,-0.75,66,15.699192541804386,65,55,75,20
2,2,-0.5,67.15,14.637971239902134,65,60,75,15
2,2,-0.25,67,14.2488702369803,65,58.75,75,16.25
2,2,0,67.4,13.285520332491705,65,60,75,15
2,2,0.25,67,11.30388330520878,65,60,75,15
2,2,0.5,68.05,12.079179014178308,65,60,75,15
2,2,0.75,69.8,10.09850473980173,70,65,75,10
2,2,1,69.2,7.936617603859908,70,65,75,10
2,3,-1,66.9,17.273498122086835,65,55,75,20
2,3,-0.75,66.8,16.82530561656783,65,55,76.25,21.25
2,3,-0.5,67.15,15.671098663888673,65,55,80,25
2,3,-0.25,67.05,15.441237585822524,65,55,80,25
2,3,0,67.9,13.14603293081916,70,55,75,20
2,3,0.25,67.75,13.053406227548967,70,55,75,20
2,3,0.5,67.65,10.92802439472557,67.5,60,75,15
2,3,0.75,67.95,9.457373799946748,70,60,75,15
2,3,1,68.5,7.736180249224087,65,65,75,10
2,4,-1,66.05,16.866903220283927,65,55,75,20
2,4,-0.75,66.8,15.835645764151103,65,60,75,15
2,4,-0.5,66.7,14.498693776065526,65,58.75,75,16.25
2,4,-0.25,66.5,14.915587399587972,65,55,75,20
2,4,0,68.1,13.022513527958363,70,60,75,15
2,4,0.25,67.7,12.54124508503156,65,60,75,15
2,4,0.5,67.25,10.184534720582354,65,60,71.25,11.25
2,4,0.75,69.6,8.75248882353246,70,65,75,10
2,4,1,68.45,7.060167108217737,70,65,75,10
2,5,-1,66.45,16.866903220283927,65,55,75,20
2,5,-0.75,66.1,15.152090898151931,65,55,76.25,21.25
2,5,-0.5,67.45,16.135396186676363,65,55,75,20
2,5,-0.25,67.1,14.842268333813713,65,60,75,15
2,5,0,67.5,12.762397418933007,70,60,75,15
2,5,0.25,67.25,11.577036657874837,70,60,75,15
2,5,0.5,67.3,11.042159794591496,65,60,75,15
2,5,0.75,67.05,9.322910847297997,67.5,60,75,15
2,5,1,70.3,7.44745906095807,70,65,75,10
2,6,-1,67.4,17.91506335320908,65,55,75,20
2,6,-0.75,67.1,16.286264895378075,65,55,75,20
2,6,-0.5,65.5,14.133204687807885,65,55,75,20
2,6,-0.25,66.75,14.023339131748916,70,55,75,20
2,6,0,67.45,13.132868012061273,65,60,75,15
2,6,0.25,67.75,11.899728373098915,65,60,75,15
2,6,0.5,67.55,11.381692725290439,70,60,75,15
2,6,0.75,68.1,9.039196352943701,65,60,75,15
2,6,1,68.85,8.035747154013267,70,65,75,10
2,7,-1,65.15,15.961680755022401,65,55,75,20
2,7,-0.75,66.85,16.85731864559699,65,55,76.25,21.25
2,7,-0.5,66.5,15.266984249707212,65,55,75,20
2,7,-0.25,66.25,13.951123194346698,65,55,75,20
2,7,0,67.6,13.660382886510195,65,58.75,75,16.25
2,7,0.25,67.5,12.27833766263071,67.5,60,75,15
2,7,0.5,67.45,10.286182749472982,67.5,60,75,15
2,7,0.75,67.45,10.576680084797953,70,60,75,15
2,7,1,68.3,8.53454063429215,70,65,75,10
2,8,-1,66.1,16.523322971490995,65,55,75,20
2,8,-0.75,66.95,17.03968926069399,65,55,75,20
2,8,-0.5,67,15.225576567676569,65,55,75,20
2,8,-0.25,66.85,14.436468271762875,65,55,75,20
2,8,0,67.55,13.58651663758722,65,55,75,20
2,8,0.25,67.9,12.414963275471786,70,58.75,75,16.25
2,8,0.5,67.15,10.474958113269354,65,60,75,15
2,8,0.75,67.7,9.277429981988927,70,60,75,15
2,8,1,70.2,8.285316206788046,70,65,75,10
2,9,-1,65.7,15.986421005517668,65,55,75,20
2,9,-0.75,65.95,15.303247823236541,65,55,75,20
2,9,-0.5,66.75,14.828565798362417,65,58.75,75,16.25
2,9,-0.25,65.65,13.901802077791965,65,55,75,20
2,9,0,68.5,13.266879852101662,70,60,75,15
2,9,0.25,67.15,12.065791865158845,65,60,75,15
2,9,0.5,67.4,11.043531860758856,65,60,75,15
2,9,0.75,68.8,10.39910641071694,70,60,75,15
2,9,1,68.45,7.999210819660508,70,65,75,10
2,10,-1,65.85,16.40791568023486,65,55,75,20
2,10,-0.75,66.6,16.281612607199236,65,55,75,20
2,10,-0.5,67.7,15.992738251083733,70,55,75,20
2,10,-0.25,65.6,14.79284566364034,65,55,75,20
2,10,0,67.8,14.147848464046263,70,60,75,15
2,10,0.25,67.1,11.72453182283397,65,60,75,15
2,10,0.5,67.65,12.132579896687059,67.5,60,75,15
