drug,with_outlier,without_outlier
Pro,-0.3079366245856356,-0.21943560852158525
Lid,-0.4146231570252285,-0.3005714438770077
Mep,0.011568555062199103,0.014031835555786984
Bup,-0.15442915850491704,-0.1604529248999893
